Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Sixth Cavalry Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Ft Oglethorpe, Georgia, USA",,,,,"6 BARNHARDT CIRCLE, FT OGLETHORPE, GA 30742-0011",,,Ft Oglethorpe,,,Catoosa County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.6thcavalrymuseum.org/home0.aspx,,,,,,"","","",,,,,,,,,,30742-0011,,,,,,"","",
,Smyrna Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Smyrna, Georgia, USA",,,,,"  ",,,Smyrna,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://smyrnahistoricalsociety.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Smyrna Museum Of History,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Smyrna, Georgia, USA",,,,,"2861 ATLANTA RD., S.E., SMYRNA, GA 30080-3657",,,Smyrna,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.smyrnaga.gov/Home/Components/FacilityDirectory/FacilityDirectory/1005/1012,,,,,,"","","",,,,,,,,,,30080-3657,,,,,,"","",
,Snellville Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Snellville, Georgia, USA",,,,,"2405 SPRINGDALE DR, SNELLVILLE, GA 30078-3727",,,Snellville,,,Gwinnett County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.snellville.org/new-page-4,,,,,,"","","",,,,,,,,,,30078-3727,,,,,,"","",
,Sorrel Weed House,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"6 W HARRIS ST, SAVANNAH, GA 31401-4354",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://sorrelweedhouse.com/,,,,,,"","","",,,,,,,,,,31401-4354,,,,,,"","",
,Soul Food Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"187 EDGEWOOD AVENUE SE S, ATLANTA, GA 30303-3000",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://thewebbuilder.com/SoulMuseum/home.php,,,,,,"","","",,,,,,,,,,30303-3000,,,,,,"","",
,South Fork Conservancy,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"  ",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://southforkconservancy.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Southeastern Quilt And Textile Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roopville, Georgia, USA",,,,,"306 BRADLEY ST, CARROLLTON, GA 30117-3269",,,Roopville,,,Carroll County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.southeasternquiltandtextilemuseum.org/,,,,,,"","","",,,,,,,,,,30117-3269,,,,,,"","",
,Southeastern Railway Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Duluth, Georgia, USA",,,,,,,,Duluth,,,Gwinnett County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.srmduluth.org/,,,,,,"","","",,,,,,,1267,,,30096-0023,,,,,,"","",
,Southern Historical Association,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Athens, Georgia, USA",,,,,"RM 111 A LECONTE HALL, ATHENS, GA 30602-0001",,,Athens,,,Clarke County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://sha.uga.edu/,,,,,,"","","",,,,,,,,,,30602-0001,,,,,,"","",
,Southern Museum Of Advertising Memorabilia,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Alpharetta, Georgia, USA",,,,,"13715 PROVIDENCE RD, ALPHARETTA, GA 30024-4290",,,Alpharetta,,,Gwinnett County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30024-4290,,,,,,"","",
